Receiver ID, Sender ID, Timestamp, RSSI
10, 7, 01/01/2000 00:00:04 GPS, -72
10, 6, 01/01/2000 00:00:06 GPS, -69
10, 7, 01/01/2000 00:00:06 GPS, -71
10, 7, 01/01/2000 00:00:08 GPS, -75
10, 7, 01/01/2000 00:00:10 GPS, -72
10, 8, 01/01/2000 00:00:10 GPS, -21
10, 6, 01/01/2000 00:00:12 GPS, -67
10, 7, 01/01/2000 00:00:12 GPS, -71
10, 8, 01/01/2000 00:00:14 GPS, -20
10, 7, 01/01/2000 00:00:14 GPS, -71
10, 8, 01/01/2000 00:00:20 GPS, -72
10, 6, 01/01/2000 00:00:21 GPS, -42
10, 7, 01/01/2000 00:00:24 GPS, -60
10, 7, 01/01/2000 00:00:26 GPS, -43
10, 7, 01/01/2000 00:00:28 GPS, -44
10, 7, 01/01/2000 00:00:29 GPS, -44
10, 8, 01/01/2000 00:00:30 GPS, -75
10, 6, 01/01/2000 00:00:32 GPS, -41
10, 7, 01/01/2000 00:00:32 GPS, -44
10, 8, 01/01/2000 00:00:33 GPS, -75
10, 7, 01/01/2000 00:00:36 GPS, -45
10, 7, 01/01/2000 00:00:37 GPS, -44
10, 6, 01/01/2000 00:00:38 GPS, -41
10, 7, 01/01/2000 00:00:39 GPS, -44
10, 7, 01/01/2000 00:00:41 GPS, -44
10, 6, 01/01/2000 00:00:41 GPS, -42
10, 7, 01/01/2000 00:00:44 GPS, -44
10, 7, 01/01/2000 00:00:46 GPS, -40
10, 7, 01/01/2000 00:00:47 GPS, -45
10, 6, 01/01/2000 00:00:47 GPS, -41
10, 7, 01/01/2000 00:00:49 GPS, -44
10, 8, 01/01/2000 00:00:49 GPS, -72
10, 6, 01/01/2000 00:00:51 GPS, -41
10, 7, 01/01/2000 00:00:51 GPS, -43
10, 7, 01/01/2000 00:00:53 GPS, -44
10, 7, 01/01/2000 00:00:55 GPS, -44
10, 7, 01/01/2000 00:00:57 GPS, -44
10, 8, 01/01/2000 00:00:59 GPS, -75
10, 6, 01/01/2000 00:01:01 GPS, -41
10, 7, 01/01/2000 00:01:01 GPS, -44
10, 7, 01/01/2000 00:01:03 GPS, -44
10, 7, 01/01/2000 00:01:05 GPS, -44
10, 7, 01/01/2000 00:01:07 GPS, -44
10, 6, 01/01/2000 00:01:07 GPS, -41
10, 8, 01/01/2000 00:01:09 GPS, -76
10, 7, 01/01/2000 00:01:09 GPS, -44
10, 6, 01/01/2000 00:01:11 GPS, -41
10, 7, 01/01/2000 00:01:11 GPS, -44
10, 7, 01/01/2000 00:01:13 GPS, -44
10, 7, 01/01/2000 00:01:15 GPS, -44
10, 6, 01/01/2000 00:01:17 GPS, -41
10, 7, 01/01/2000 00:01:17 GPS, -44
10, 7, 01/01/2000 00:01:19 GPS, -44
10, 8, 01/01/2000 00:01:19 GPS, -76
10, 6, 01/01/2000 00:01:21 GPS, -41
10, 7, 01/01/2000 00:01:21 GPS, -44
10, 7, 01/01/2000 00:01:23 GPS, -43
10, 7, 01/01/2000 00:01:25 GPS, -44
10, 7, 01/01/2000 00:01:27 GPS, -44
10, 6, 01/01/2000 00:01:27 GPS, -42
10, 8, 01/01/2000 00:01:29 GPS, -74
10, 7, 01/01/2000 00:01:29 GPS, -45
10, 6, 01/01/2000 00:01:31 GPS, -41
10, 7, 01/01/2000 00:01:31 GPS, -44
10, 7, 01/01/2000 00:01:33 GPS, -44
10, 7, 01/01/2000 00:01:35 GPS, -44
10, 8, 01/01/2000 00:01:35 GPS, -75
10, 7, 01/01/2000 00:01:37 GPS, -45
10, 6, 01/01/2000 00:01:37 GPS, -41
10, 7, 01/01/2000 00:01:39 GPS, -44
10, 6, 01/01/2000 00:01:41 GPS, -41
10, 7, 01/01/2000 00:01:43 GPS, -44
