Receiver ID, Sender ID, Timestamp, RSSI
5, 3, 27/01/2024 05:08:25 GPS, -66
5, 7, 27/01/2024 05:08:25 GPS, -81
5, 4, 27/01/2024 05:08:25 GPS, -71
5, 11, 27/01/2024 05:08:25 GPS, -67
5, 10, 27/01/2024 05:08:25 GPS, -73
5, 2, 27/01/2024 05:08:25 GPS, -69
5, 1, 27/01/2024 05:08:25 GPS, -66
5, 7, 27/01/2024 05:08:25 GPS, -82
5, 11, 27/01/2024 05:08:25 GPS, -67
5, 10, 27/01/2024 05:08:25 GPS, -73
5, 11, 27/01/2024 05:08:35 GPS, -67
5, 7, 27/01/2024 05:08:35 GPS, -83
5, 10, 27/01/2024 05:08:35 GPS, -74
5, 4, 27/01/2024 05:08:35 GPS, -71
5, 2, 27/01/2024 05:08:35 GPS, -70
5, 10, 27/01/2024 05:08:35 GPS, -73
5, 11, 27/01/2024 05:08:35 GPS, -67
5, 7, 27/01/2024 05:08:35 GPS, -84
5, 1, 27/01/2024 05:08:35 GPS, -66
5, 3, 27/01/2024 05:08:35 GPS, -68
5, 10, 27/01/2024 05:08:45 GPS, -74
5, 2, 27/01/2024 05:08:45 GPS, -70
5, 1, 27/01/2024 05:08:45 GPS, -67
5, 4, 27/01/2024 05:08:45 GPS, -71
5, 11, 27/01/2024 05:08:45 GPS, -67
5, 3, 27/01/2024 05:08:45 GPS, -68
5, 10, 27/01/2024 05:08:45 GPS, -74
5, 11, 27/01/2024 05:08:55 GPS, -67
5, 6, 27/01/2024 05:08:55 GPS, -64
5, 3, 27/01/2024 05:08:55 GPS, -68
5, 7, 27/01/2024 05:08:55 GPS, -83
5, 10, 27/01/2024 05:08:55 GPS, -73
5, 4, 27/01/2024 05:08:55 GPS, -71
5, 2, 27/01/2024 05:08:55 GPS, -70
5, 1, 27/01/2024 05:08:55 GPS, -66
5, 11, 27/01/2024 05:08:55 GPS, -67
5, 10, 27/01/2024 05:08:55 GPS, -73
5, 3, 27/01/2024 05:09:05 GPS, -68
5, 11, 27/01/2024 05:09:05 GPS, -67
5, 4, 27/01/2024 05:09:05 GPS, -71
5, 7, 27/01/2024 05:09:05 GPS, -83
5, 6, 27/01/2024 05:09:05 GPS, -64
5, 2, 27/01/2024 05:09:05 GPS, -70
5, 11, 27/01/2024 05:09:05 GPS, -67
5, 9, 27/01/2024 05:09:05 GPS, -73
5, 1, 27/01/2024 05:09:05 GPS, -67
5, 3, 27/01/2024 05:09:15 GPS, -67
5, 11, 27/01/2024 05:09:15 GPS, -67
5, 7, 27/01/2024 05:09:15 GPS, -85
5, 4, 27/01/2024 05:09:15 GPS, -71
5, 2, 27/01/2024 05:09:15 GPS, -70
5, 9, 27/01/2024 05:09:15 GPS, -73
5, 1, 27/01/2024 05:09:15 GPS, -66
5, 10, 27/01/2024 05:09:15 GPS, -73
5, 11, 27/01/2024 05:09:15 GPS, -67
5, 6, 27/01/2024 05:09:25 GPS, -65
5, 3, 27/01/2024 05:09:25 GPS, -68
5, 4, 27/01/2024 05:09:25 GPS, -71
5, 7, 27/01/2024 05:09:25 GPS, -85
5, 2, 27/01/2024 05:09:25 GPS, -70
5, 9, 27/01/2024 05:09:25 GPS, -73
5, 10, 27/01/2024 05:09:25 GPS, -74
5, 1, 27/01/2024 05:09:25 GPS, -67
5, 6, 27/01/2024 05:09:35 GPS, -64
5, 4, 27/01/2024 05:09:35 GPS, -71
5, 9, 27/01/2024 05:09:35 GPS, -73
5, 7, 27/01/2024 05:09:35 GPS, -84
5, 2, 27/01/2024 05:09:35 GPS, -70
5, 10, 27/01/2024 05:09:35 GPS, -74
